City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
215,Mongo,TD,12.18,18.69,75.54,83,76,6.31,broken clouds
216,Sur,OM,22.57,59.53,84.18,51,5,3.2,clear sky
217,Medina,SA,24.47,39.61,87.8,7,0,9.17,clear sky
218,Aksay,RU,47.26,39.87,55.4,47,2,8.95,clear sky
219,Pavilosta,LV,56.89,21.19,53.6,66,1,5.82,clear sky
220,Saint Anthony,US,45.02,-93.22,51.8,75,1,5.7,clear sky
221,Rivadavia,AR,-33.19,-68.46,66.2,28,0,4.7,clear sky
222,Robertsport,LR,6.75,-11.37,77.41,85,100,9.98,moderate rain
223,Jimma,ET,7.67,36.83,56.34,86,93,0.22,overcast clouds
224,Touros,BR,-5.2,-35.46,73.4,83,20,3.36,few clouds
225,Nisia Floresta,BR,-6.09,-35.21,75.2,78,0,6.93,clear sky
226,Conde,BR,-7.26,-34.91,69.8,94,0,3.36,clear sky
227,High Rock,BS,26.62,-78.28,83.55,74,100,10.51,overcast clouds
228,Uvira,CD,-3.41,29.15,76.95,47,86,2.77,overcast clouds
229,Thompson,CA,55.74,-97.86,32.0,86,20,4.25,few clouds
230,Carauari,BR,-4.88,-66.9,76.73,75,80,2.71,broken clouds
231,Tshikapa,CD,-6.42,20.8,73.54,77,5,1.86,light rain
232,Qaqortoq,GL,60.72,-46.03,44.6,70,100,5.82,moderate rain
233,Pisco,PE,-13.7,-76.22,60.8,87,40,9.17,scattered clouds
234,Bubaque,GW,11.28,-15.83,79.92,86,100,16.78,light rain
235,Amapa,BR,1.0,-52.0,74.8,88,8,4.9,clear sky
236,Kudahuvadhoo,MV,2.67,72.89,82.54,78,100,12.03,overcast clouds
237,Yarim,YE,14.3,44.38,56.44,36,3,6.42,clear sky
238,Barh,IN,25.48,85.72,80.6,83,75,5.82,mist
239,Poquoson,US,37.12,-76.35,71.6,100,90,17.22,moderate rain
240,Husavik,IS,66.04,-17.34,50.0,61,20,11.41,few clouds
241,Codrington,AU,-38.27,141.97,57.52,84,100,8.9,overcast clouds
242,Luderitz,NA,-26.65,15.16,55.83,71,0,13.65,clear sky
243,San Cristobal,VE,7.77,-72.22,66.34,81,23,1.57,few clouds
244,Saint-Georges,GD,12.06,-61.75,82.4,83,20,5.82,few clouds
245,Keetmanshoop,NA,-26.58,18.13,60.8,14,0,4.7,clear sky
246,Ilhabela,BR,-23.78,-45.36,70.32,84,53,5.88,broken clouds
247,Neuquen,AR,-38.95,-68.06,55.4,37,100,10.29,overcast clouds
248,Peruibe,BR,-24.32,-47.0,68.36,91,86,3.51,overcast clouds
249,Kasongo-Lunda,CD,-6.47,16.82,73.27,80,17,1.16,few clouds
250,Mindelo,CV,16.89,-24.98,80.6,88,20,3.36,few clouds
251,Posse,BR,-14.09,-46.37,72.36,37,79,7.14,broken clouds
252,Cayenne,GF,4.93,-52.33,77.0,94,0,12.39,clear sky
253,Salekhard,RU,66.53,66.6,44.26,86,100,12.12,light rain
254,Sasykoli,RU,47.55,47.0,57.99,56,50,1.01,scattered clouds
255,Santa,PH,17.49,120.43,87.82,67,0,5.39,clear sky
256,Trelew,AR,-43.25,-65.31,49.91,44,0,24.65,clear sky
257,Baherden,TM,38.44,57.43,63.1,33,0,7.67,clear sky
258,Alindao,CF,5.03,21.21,69.98,96,100,2.1,light rain
259,Kadirli,TR,37.37,36.1,80.01,86,59,0.43,broken clouds
